uuid	TR_uuid	costing_location_uuid	travel_date	route	night_stop	stop_order	status
0000062b-1fc8-4085-8453-56e524ef8d05	c963ae82-78b0-427e-98b8-4f8bfa2c74d8	8A34F184-DEE1-C657-55E7-E53597FE8AA6	2018/07/28	Ella	98 ACRES RESORT - GREENLAND	7	1
00000f29-31b5-440a-bcfc-f53e83bc1250	717d86c7-23e3-457e-8c63-c281f24761fb	ab5b290c-2812-4d9b-8ffa-2522b6f63979	2018/10/16	Colombo/Airport (BIA)		8	1
00001d26-d4e0-480a-9b50-58d152b20073	d1f3cea0-9111-4715-9f8a-149b5d6e4bbb	DEFAD2E8-2E7A-AFB9-49B3-57F5206D9CCE	2018/10/20	Bentota	INDURUWA BEACH RESORT	4	1
00002422-e88d-4191-a2e1-0ea8d4d164e0	e4cb9cd9-d33c-4169-80bf-fcc45825b796	04263DE2-3C69-B8A8-3203-C84A1608AA40	2017/05/13	cmb/chillaw/cmb		7	1
00006e77-5804-4067-87fb-9f5dd59ea146	b1bfc419-f4b5-40c4-871c-8129f99aa979	01EA2131-AF87-BFE7-C11A-ABC1ED6CFC40	2017/08/29	Bentota/Colombo	CINNAMON RED	14	1
000097b1-3876-48ab-aee9-e384d4e4b777	83ede42a-6bbc-4269-9e72-9b55e2792b90	2C64E610-1D99-3E9F-704E-FA636ECDB6D7	2018/08/17		MOVENPICK HOTEL COLOMBO	9	1
00018bc4-5aa5-4874-bfee-939348dff649	cec143ef-f23f-47ba-92d8-0c51de35ec2c	0202F991-0977-FE0D-C8BA-A392981D8690	2017/11/08	Nuwara Eliya/Hikkaduwa	CITRUS HOTEL - HIKKADUWA	7	1
0001ab75-5437-4ef9-8968-ca928a2306d0	073d321c-76ed-405d-b816-5a4f1ac0c30a	5851fc36-d609-4c37-ba34-4dfdb13f59aa	2017/04/10			7	1
000291bc-b88c-4fd2-bbdd-4c581c1e3ae7	76b5213b-7d07-4fe6-8cb3-9de80c0997cc	b41632ab-c981-404f-853f-60424839facf	2018/07/22	Colombo/Airport (BIA)/Colombo		6	1
0002e420-e90b-4177-b4c7-07e1043f35ea	a30564b6-0d59-4923-b6fe-db68bfaf0251	02154040-EDAF-8568-051C-CCD6212B5EDB	2019/01/03	Kandy/Nuwara Eliya	ARALIYA GREEN CITY	4	1
00031edf-8c2d-40b2-b154-74f8675cd832	1b5071ef-df9f-4d97-8032-651bfe7fdad7	D756AFFD-1EC3-948D-5457-D1AA2AA6F8C3	2018/03/05	Airport (BIA)/Colombo	GLOBAL TOWERS LTD.	1	1
000326ff-ea5c-4daa-9dd1-c2617e29fce9	d5e83cb5-6de3-4e61-a297-f602c93f7cf9	D12F166B-6858-A998-9650-FC7F94FA73DC	2019/02/17	Yala/Koggala	THE FORTRESS	9	1
000334c3-8c38-47ac-80e1-9a937995bc0b	05d74c04-24b7-44e2-b6f0-9c81595c92ad	CC0775E9-C8D8-3607-1EB4-22EEB8DA1B38	2018/03/27	Kandy/Kandy	EARLS REGENCY	2	1
000367b1-b9f9-41d4-8eff-d56949f9419d	906baa11-5d02-4cfc-a033-b8e25c531c21	8eceb338-bb4d-4e4e-b880-bb017cbb7761	2017/05/22	Dambulla/(Pasekudah) - Kalkudah	UGA BAY RESORTS	7	1
0003821e-dbea-4740-9b87-6e411ce30d67	378ae845-8ae0-4e71-a21f-36348acdbf0f	e302bf39-6e71-44d8-8160-6a294a4db6bb	2017/08/28	Tangalla/Colombo/Airport (BIA)		7	1
000398a0-8f9a-407f-b234-938c5ed96ff3	1b7712e9-8582-4203-8cc4-4b16a0018068	FD35F7E4-8690-9974-7B0D-073D0E49A6E5	2017/09/10	Colombo/Airport (BIA)/Kandy	THE GRAND KANDYAN	1	1
0003f183-e042-4085-8af1-aafc89060f6e	4a509975-2d62-4d92-88e4-69e5063823d7	5BD67C3E-E119-6AE8-571B-F339B7ABA459	2017/08/20	Colombo/Pinnawala/Kandy	THILANKA HOTELS LIMITED	2	1
000407e8-d6f5-4c0e-8424-0764ee8753a4	8879c937-b290-4e3b-9aae-3317eaa4eacd	A027E9E1-A574-6935-7265-B41E8EFBB273	2018/03/08	Sigiriya/Minneriya/Sigiriya	HERITANCE KANDALAMA 	4	1
00046ddd-5faf-4da5-b936-e948e5df5d42	d976dc85-6fce-406b-b3fe-24f33903bea6	d77a12f9-fef2-4cd9-8af4-c0f21705f601	2017/12/25	Negombo/Pinnawala/Sigiriya/Dambulla	SOROWWA RESORT & SPA	2	1
00047bd5-f7ae-4041-bef9-29070b7ff6e5	48f3ff16-6d45-4e6a-999f-a7f958886345	3D9322C5-BE60-9C90-8074-6D10C0DD854E	2018/02/18	Negombo/Yala		2	1
0004e7b4-e2d2-4013-85d2-95c5585b93d5	d12b85cf-82dc-4bc8-96a0-77633735bf2d	e4a2702f-3a62-4bb0-8822-53e7448a5954	2019/03/26	Kandy/Nuwara Eliya	JETWING ST. ANDREWS	5	1
00051156-b046-44dc-9a26-4aa1c624212f	56294053-04bd-4409-b450-708bd0460fc4	85A2C927-0E26-F485-8722-54C190973FB3	2018/02/15	Negombo/Dambulla/Sigiriya	WELIGAMA BAY-MARRIOTT RESORT AND SPA	2	1
000538d5-8fa6-45db-b86b-290b2721e835	8dd30d09-cf35-41e5-b4ca-128f561bf5e0	5A865184-29D5-83F7-7DAC-84B9BC4EF1F1	2018/09/28	Negombo  - please note 29th Departure - UL 604 12:20am 	Jetwing Beach	9	1
